
> prediction-market-starter-kit@0.1.0 bot:realtime /Users/yuping/Downloads/git/prediction-market-starter-kit
> tsx bot/realtime-daemon.ts

[2026-03-30 08:56:08] Realtime Bot Daemon starting
  Scan interval:  1 second
  Auto-tune:      every 1 hour
  Press Ctrl+C to stop

  New wallet: 0xC114Aa4216D4e17EaBF5aD3Cd6866CD58d42AC5b
[2026-03-30 09:21:15] Cycle #142: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:21:25] Cycle #143: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:21:36] Cycle #144: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:21:46] Cycle #145: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:21:57] Cycle #146: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:22:08] Cycle #147: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:22:18] Cycle #148: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:22:29] Cycle #149: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:22:39] Cycle #150: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:22:50] Cycle #151: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:23:01] Cycle #152: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:23:12] Cycle #153: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:23:23] Cycle #154: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:23:34] Cycle #155: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:23:44] Cycle #156: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:23:55] Cycle #157: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:24:05] Cycle #158: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:24:16] Cycle #159: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:24:27] Cycle #160: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:24:37] Cycle #161: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:24:48] Cycle #162: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:24:59] Cycle #163: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:25:09] Cycle #164: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:25:20] Cycle #165: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:25:30] Cycle #166: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:25:41] Cycle #167: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:25:52] Cycle #168: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:26:02] Cycle #169: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:26:13] Cycle #170: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:26:23] Cycle #171: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:26:34] Cycle #172: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:26:45] Cycle #173: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:26:55] Cycle #174: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:27:06] Cycle #175: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:27:17] Cycle #176: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:27:27] Cycle #177: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:27:38] Cycle #178: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:27:48] Cycle #179: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:27:59] Cycle #180: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:28:10] Cycle #181: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:28:20] Cycle #182: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:28:31] Cycle #183: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:28:41] Cycle #184: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:28:52] Cycle #185: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:29:03] Cycle #186: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:29:13] Cycle #187: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:29:24] Cycle #188: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:29:35] Cycle #189: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:29:45] Cycle #190: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:29:56] Cycle #191: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:30:06] Cycle #192: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:30:17] Cycle #193: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:30:28] Cycle #194: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:30:38] Cycle #195: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:30:49] Cycle #196: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:30:59] Cycle #197: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:31:10] Cycle #198: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:31:21] Cycle #199: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:31:31] Cycle #200: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:31:42] Cycle #201: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:31:52] Cycle #202: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:32:03] Cycle #203: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:32:14] Cycle #204: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:32:24] Cycle #205: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:32:35] Cycle #206: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:32:46] Cycle #207: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:32:56] Cycle #208: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:33:07] Cycle #209: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:33:17] Cycle #210: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:33:28] Cycle #211: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:33:39] Cycle #212: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:33:49] Cycle #213: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:34:00] Cycle #214: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:34:10] Cycle #215: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:34:21] Cycle #216: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:34:32] Cycle #217: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:34:42] Cycle #218: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:34:53] Cycle #219: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:35:03] Cycle #220: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:35:14] Cycle #221: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:35:25] Cycle #222: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:35:35] Cycle #223: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:35:46] Cycle #224: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
[2026-03-30 09:35:57] Cycle #225: trades=150 exits=0 equity=$11003.45 arb=$2.6884 DD=-1.06%
